courseNo,courseName,genEdType
0123101,PARAGRAPH WRITING,HU
0123104,UNIV THAI READING,HU
0123105,THAI WRIT WORK,HU
0123106,TH COM SKIL,HU
0201102,THAI WISDOM,IN
0201103,OUR CU,IN
0201105,CU SMART BUD GRAD,HU
0201106,ART SCI FIND HAP,IN
0201107,LRN STUD ACT (EN/TH),IN
0201108,FAMILY RELATIONS,IN
0201109,INTRO EU INTEGRAT (EN/TH),IN
0201110,SICHANG STUDY,IN
0201111,WISDOM LIVING,IN
0201117,ART RATANAKOSIN,IN
0201121,LIFE REFL FILM,IN
0201122,MGT PUB DISASTER,IN
0201123,CULT TRAD TH LIFE (EN/TH),IN
0201125,MGT DIFF CULT (INTER),IN
0201127,QUAL WORK MGT (INTER),IN
0201129,UNDERWATER WORLD,IN
0201131,THAI COAST COM DEV,IN
0201141,COAST ENV,IN
0201151,OUR ENVIRONMENT(EN/TH),IN
0201152,PROD PROMOTION SCI,SC
0201153,WASTE MANAGEMENT,IN
0201154,URB GLOB WRMG,IN
0201170,MILITARY SCIENCE,SO
0201171,EFFECT CAREER MGT (INTER),SO
0201172,SELF/CAREER MGT (INTER),SO
0201173,RETHINK JUST INNO (INTER),SO
0201200,STUD PROC THAI SOC,IN
0201201,IDEAL GRADUATE 1,IN
0201202,IDEAL GRADUATE 2,IN
0201203,IDEAL GRADUATE 3,IN
0201204,IDEAL GRADUATE 4,IN
0201205,IDEAL GRADUATE 5,IN
0201206,THAI IDEAL GRAD,IN
0201209,VALUE URB ENV,IN
0201210,MAT MGT GREEN,IN
0201211,MEDITAT LIFE DEV,HU
0201212,SP ETH ICS (EN/TH),HU
0201230,MAN/PEACE,IN
0201231,URB COMM STUD,IN
0201232,MULTI STUD RUR DEV (EN/TH),IN
0201234,LOCAL GLOB ISS (EN/TH),IN
0201251,P2 CONTROL (EN/TH),IN
0201252,ALT ENGY CONS,IN
0201254,GLOB WARM ADAP,IN
0201255,ICT STRATEGIC MGT (EN/TH),IN
0201256,LIV DIGI WORLD(EN/TH),IN
0201270,NAT SECURITY DEV,IN
0201281,TEAM/ORG DEV,IN
0201282,NAT SKB JOUR,IN
0201283,BEAUTIFUL DEATH,IN
0201284,JWL DES ENTRE (INTER),IN
0201285,ECON SOC PLAN,IN
0201286,LIFE DESIGN,IN
0201287,MAP APPLN (INTER),SC
0294455,PROF PRESENTATION,SO
0294456,DESIGNING LIFE,SO
0294460,INTR SUST DEV,SO
0294461,STARTUP ENTREPRN,SO
0294463,RDMAP LT NEW GEN,SO
0294464,CONT INDIA,SO
0295100,EXPL BME WORLD,IN
0295101,INTRO DATA SCI,IN
0295102,AGRO WASTES MONEY,IN
0295104,GUARD WATER,IN
0295103,LRNG LIFE,IN
0295105,PET LOVERS,IN
0295106,WELL LIFE EXT,IN
0295107,PATIENT SAFETY,IN
0295108,STEM ROBOT,IN
0295109,INNO SRD,IN
0295110,WINE EDUCATION,IN
0295111,KNOW ACCUM I,IN
0295112,KNOW ACCUM II,IN
0295113,KNOW ACCUM III,IN
0295114,KNOW ACCUM IV,IN
0295115,KNOW ACCUM V,IN
0295116,KNOW ACCUM VI,IN
0295117,CLI DISAS RESIL,IN
0295125,DESIGN THINK INNO,IN
0296110,HU ECO GLOBAL,HU
0296111,CRIT THINK SKIL,HU
0296112,LIFE SKILLS,HU
0296113,BSC TH COMM,HU
0298111,IN PRO COMMUNITY,SC
0298112,GEN PRIN HAL PROD,SC
0298114,INTR CLIN SEX,SC
0298115,SPREADSHEET SKILLS,SC
2100111,EXPL ENG WORLD,SC
2100311,ENG ESSENTIALS,SC
2101251,CE PROF CONDUCT,IN
2101256,C E PROFESSION,SC
2102041,ICT TELECOM MGT,SC
2102209,ELECT ENG ESSENT,SC
2103201,INTRO MECH DESIGN (กลุ่มพิเศษ),SC
2104181,HF ERGO DAILY LIFE,IN
2104409,IND BUS MGT (กลุ่มพิเศษ),SC
2105261,CHEM PROD IND,SC
2107219,URBAN ENVIRONMENTS,SC
2107220,ENV DAILY LIFE (INTER),SC
2107221,ENV STUD,SC
2110191,INNOV THINK,SC
2110221,COMP ENG ESS,SC
2111201,GEN RAD NUCLEAR,SC
2111330,MOD MAP PROT RAD,SC
2112210,WATER / SOC,SC
2140145,HOME IMPROVEMENT,SC
2142109,AUTO STUDIES (INTER),SC
2147102,INTRO ROBOTICS (INTER) (กลุ่มพิเศษ),SC
2147111,EXPL ROBOTICS ENG (INTER) (กลุ่มพิเศษ),SC
2185101,"INTRO CHE (INTER)  (กลุ่มพิเศษ) ",SC
2200183,THAI CIV,HU
2200185,SURV ART ARCH THAI,HU
2200201,ACAD REPORT WRI (INTER),HU
2200222,VERN ARCH TH SOC,HU
2200223,PNTG TH SOC,HU
2200226,FOLK MUS TH SOC,HU
2200227,TH CL MUS DRAM,HU
2200330,TIPITAKA LIFE,HU
2200387,ARCHAEO THAI,HU
2200389,ICONOGRAPHY,HU
2200390,FOR CULT TH ART,HU
2200391,CONT ART TH SEA,HU
2200392,ANC ART SIAM SEA,HU
2200393,LANG / CULT ART,HU
2200394,CUST/FEST TH SOC,HU
2200395,ROY TRAD/CERE,HU
2200396,REL RIT TH SOC,HU
2204180,CIVILIZATION,HU
2206101,RES ACAD REP WRIT,HU
2207103,PHILOS LOGIC,HU
2207201,HIST WEST PHILOS,HU
2207203,PHILOS FILMS,HU
2207341,SYMBOLIC LOGIC,HU
2207361,AESTHETICS,HU
2207363,ETHICS,HU
2207365,POLITICAL PHILOS,HU
2207371,PHILOS LITERATURE,HU
2207385,AMERICAN PHILOS,HU
2207387,PHILOS WOMEN,HU
2207467,PHILOS LANG,HU
2207472,JAPANESE PHILOS,HU
2207474,CHINESE PHILOS,HU
2207478,PS TOP ETHICS,HU
2209212,HUMAN LANG,HU
2209373,LANG CULTURE,HU
