courseNo,abbrName,genEdType,studyProgram,academicYear,semester,sections
2403183,SOCIETY & CULTURE,SO,S,2564,3,1
3401102,TAX LAW DLY LIFE,SO,S,2564,3,1
3404117,INTRO TO LAW,SO,S,2564,3,1-4
3404131,FREE ASM LAW,SO,S,2564,3,1
3405102,INTRO INTL LAW,SO,S,2564,3,1
0123101,PARAGRAP WRITING,HU,S,2564,3,1
0201105,CU SMART BUD GRAD,HU,S,2564,3,1
0296110,HU ECO GLOBAL,HU,S,2564,3,1
2107219,URBAN ENVIRONMENTS,SC,S,2564,3,1
2305108,BIOTECH DAILY LIFE,SC,S,2564,3,1
2313213,DIGITAL PHOTO,SC,S,2564,3,1-2
2313221,PHOTO SCI,SC,S,2564,3,1
3200106,FUND ORAL BIO HLTH,SC,S,2564,3,1-2
3200109,CALCIUM HLTH,SC,S,2564,3,1
3304102,DRUG EDUCATION,SC,S,2564,3,1
3306101,USEFUL PLANTS,SC,S,2564,3,1
3307101,BASIC AROMATHERAPY,SC,S,2564,3,1
3308100,MICRO ORGAN/LIFE,SC,S,2564,3,1
3308101,HYG ENV MICROBIO,SC,S,2564,3,1
3309102,OUR BODY,SC,S,2564,3,1
3700104,INT HC NEW GEN,SC,S,2564,3,1
3700107,SEXUAL DEVELOPMENT,SC,S,2564,3,1
3700109,IMMUNITY OF LIFE,SC,S,2564,3,1
3700110,GOOD HEALTH,SC,S,2564,3,1
3742100,PHY THR DAILY LIFE,SC,S,2564,3,1-2
3743422,WEIGHT CONTROL,SC,S,2564,3,1
3900203,TREK MTNG EX,SC,S,2564,3,1
0201103,OUR CU,IN,S,2564,3,1
0201107,LRN STUD ACT,IN,S,2564,3,1
0201108,FAMILY RELATIONS,IN,S,2564,3,1
0201117,ART RATANAKOSIN,IN,S,2564,3,1
0201121,LIFE REFL FILM,IN,S,2564,3,1
0201131,THAI COAST COM DEV,IN,S,2564,3,1
0201204,IDEAL GRADUATE IV,IN,S,2564,3,1
0201255,ICT STRATEGIC MGT,IN,S,2564,3,1
0201283,BEAUTIFUL DEATH,IN,S,2564,3,1
0201285,ECON SOC PLANT,IN,S,2564,3,1
0295104,GUARD WATER,IN,S,2564,3,1
0295106,WELL LIFE EXT,IN,S,2564,3,1
0295109,INNO SRD,IN,S,2564,3,1
2305100,NATIONAL RESOURCES,IN,S,2564,3,1-4
2503216,AMPHAWA STUDIES,IN,S,2564,3,1
3000281,HUMAN LIFE,IN,S,2564,3,1
3303191,CHEM DRUG DAILY,IN,S,2564,3,1
3305101,FOOD FOR HEALTH,IN,S,2564,3,1
2400104,POL GOVT THAI,SO,I,2564,3,1
2605311,PRIN MKTG,SO,I,2564,3,51
3404117,INTRO TO LAW,SO,I,2564,3,1
3800130,SOC PSY EVERY LIFE,SO,I,2564,3,1
3800202,PSY LIFE WORK,SO,I,2564,3,1
0201212,SP ETHICS,HU,I,2564,3,1
2207103,PHILOS LOGIC,HU,I,2564,3,1
2541156,ARCH ENV FILM,HU,I,2564,3,1
2541176,JP DSGN CON,HU,I,2564,3,1
2140145,HOME IMPROVEMENT,SC,I,2564,3,1
3900200,EX/SP HLTH,SC,I,2564,3,1
0201251,P2 CONTROL,IN,I,2564,3,1
